E6080900,EMPLOYERS_ALL_IND_2000.09
E6081000,EMPLOYERS_ALL_IND_2000.10
E6081100,EMPLOYERS_ALL_IND_2000.11
E6081200,EMPLOYERS_ALL_IND_2000.12
E6081300,EMPLOYERS_ALL_IND_2000.13
E6081400,EMPLOYERS_ALL_IND_2000.14
E6081500,EMPLOYERS_ALL_IND_2000.15
E6081600,EMPLOYERS_ALL_IND_2000.16
E6081700,EMPLOYERS_ALL_IND_2000.17
E6081800,EMPLOYERS_ALL_IND_2000.18
E6081900,EMPLOYERS_ALL_IND_2000.19
E6082000,EMPLOYERS_ALL_IND_2000.20
E6082100,EMPLOYERS_ALL_IND_2000.21
E6082200,EMPLOYERS_ALL_IND_2000.22
E6082300,EMPLOYERS_ALL_IND_2000.23
E6082400,EMPLOYERS_ALL_IND_2000.24
E6082500,EMPLOYERS_ALL_IND_2000.25
E6082600,EMPLOYERS_ALL_IND_2000.26
E6082700,EMPLOYERS_ALL_IND_2000.27
E6082800,EMPLOYERS_ALL_IND_2000.28
E6082900,EMPLOYERS_ALL_IND_2000.29
E6083000,EMPLOYERS_ALL_IND_2000.30
E6083100,EMPLOYERS_ALL_IND_2000.31
E6083200,EMPLOYERS_ALL_IND_2000.32
E6083300,EMPLOYERS_ALL_IND_2000.33
E6083400,EMPLOYERS_ALL_IND_2000.34
E6083500,EMPLOYERS_ALL_IND_2000.35
E6083600,EMPLOYERS_ALL_IND_2000.36
E6083700,EMPLOYERS_ALL_IND_2000.37
E6083800,EMPLOYERS_ALL_IND_2000.38
E6083900,EMPLOYERS_ALL_IND_2000.39
E6084000,EMPLOYERS_ALL_IND_2000.40
E6084100,EMPLOYERS_ALL_IND_2000.41
E6084200,EMPLOYERS_ALL_IND_2000.42
E6084300,EMPLOYERS_ALL_IND_2000.43
E6084400,EMPLOYERS_ALL_IND_2000.46
E6084500,EMPLOYERS_ALL_IND_2000.47
E6084600,EMPLOYERS_ALL_IND_2000.48
E6090100,EMPLOYERS_ALL_IND_2002.01
E6090200,EMPLOYERS_ALL_IND_2002.02
E6090300,EMPLOYERS_ALL_IND_2002.03
E6090400,EMPLOYERS_ALL_IND_2002.04
