"","id","male","job_number","year","urban","highest_grade","family_income","employer_id","hourly_pay","hours_worked","job_satisfaction","union","cohort","tenure","avg_age_job_year","white","religious","personality_2","personality_4","personality_6","personality_8","personality_10","personality_1","personality_3","personality_5","personality_7","personality_9"
"134","339 _97","0",1,2001,"1",14,10.5922752443186,199902,2.34012169652277,15,0.75,0,"1997",0.83013698630137,19.5849315068493,"1","1",1,5,7,4,5,4,6,6,7,6
"135","339 _97","0",2,2001,"1",14,10.5922752443186,200103,2.24469111457514,15,0.75,0,"1997",1.24931506849315,19.3753424657534,"1","1",1,5,7,4,5,4,6,6,7,6
"136","339 _97","0",1,2005,"1",16,11.9923285307805,200502,3.85313038283473,40,0.5,0,"1997",0.915068493150685,23.5424657534247,"1","1",1,5,7,4,5,4,6,6,7,6
"137","340 _97","1",1,1999,"1",11,NA,199901,2.22786154679811,30,0.75,1,"1997",2.16712328767123,15.9164383561644,"1","1",3,4,3,5,4,1,1,1,1,2
"138","340 _97","1",2,2002,"1",14,11.1420211911632,199901,NA,30,1,1,"1997",0.243835616438356,20.8780821917808,"1","1",3,4,3,5,4,1,1,1,1,2
"139","340 _97","1",1,2006,"1",17,10.9371790247789,200601,4.85154030015697,15,1,0,"1997",1.07671232876712,24.4616438356164,"1","1",3,4,3,5,4,1,1,1,1,2
"140","340 _97","1",1,2007,"1",18,10.6877885599473,200702,2.33795223683134,20,1,0,"1997",0.504109589041096,24.7479452054795,"1","1",3,4,3,5,4,1,1,1,1,2
"141","341 _97","1",1,2003,"1",13,11.2644769261024,200302,2.37127125078249,11,0.5,0,"1997",0.83013698630137,19.5849315068493,"1","1",5,2,3,3,5,4,7,6,5,4
"142","344 _97","1",1,2002,"0",12,NA,200201,0.183154543097847,9,0.5,0,"1997",0.249315068493151,17.8753424657534,"1","1",3,4,6,1,1,6,7,7,6,6
"143","346 _97","1",1,2006,"1",13,11.8266480217129,200602,NA,40,0.5,0,"1997",0.668493150684932,21.6657534246575,"0","1",1,7,7,7,5,4,1,1,4,2
"144","348 _97","1",1,2000,"1",10,NA,200001,2.24070968927596,22,0.75,1,"1997",0.917808219178082,16.541095890411,"0","1",2,1,6,1,1,6,7,6,7,7
"145","354 _97","0",1,2000,"1",12,NA,200001,2.4423470353692,40,1,NA,"1997",0.419178082191781,17.7904109589041,"0","1",4,3,4,2,3,5,6,5,6,5
"146","356 _97","0",1,2008,"1",12,11.0815423688057,200801,2.33175547029383,40,0.75,0,"1997",2.91780821917808,23.541095890411,"0","1",6,3,5,6,5,7,7,6,6,5
